Song_Id,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
2000,71.0,41.0,31.0,79.0,0.0,10.0,5.0
2002,36.0,28.0,28.0,81.0,0.0,18.0,3.0
2010,57.0,55.0,64.24366041896361,22.0,0.0,8.0,4.0
2011,51.0,22.0,64.24366041896361,1.0,0.0,15.0,3.0
2012,82.0,88.0,76.0,26.994487320837926,0.0,12.0,9.0
2018,53.0,40.0,36.0,73.0,0.0,11.0,33.0
2020,60.0,58.0,69.0,2.0,0.0,58.0,4.0
2024,66.94701986754967,77.0,45.0,25.0,0.0,13.0,27.0
2027,92.0,62.0,86.0,11.0,0.0,24.0,24.0
2029,46.0,55.0,50.0,71.0,0.0,10.0,11.0
2030,76.0,44.0,77.0,1.0,0.0,13.0,3.0
2034,84.0,54.0,51.0,47.0,0.0,12.0,40.0
2040,85.0,80.0,83.0,10.0,0.0,8.0,11.0
2044,66.94701986754967,70.0,68.0,3.0,1.0,11.0,4.0
2047,39.0,24.0,43.0,39.0,0.0,23.0,3.0
2056,60.0,10.0,64.24366041896361,1.0,0.0,50.0,3.0
2057,79.0,67.0,81.5,16.0,0.0,14.0,21.5
2064,82.0,51.439293598233995,67.0,12.0,0.0,13.0,5.0
2066,69.0,61.0,71.0,33.0,0.0,31.0,20.0
2067,66.94701986754967,84.0,71.0,35.0,0.0,15.0,4.0
2068,58.0,71.0,64.24366041896361,15.0,0.0,7.0,41.0
2070,78.0,40.0,74.0,36.0,0.0,17.0,27.0
2071,66.94701986754967,69.0,51.0,63.0,1.6225165562913908,38.0,4.0
2073,88.5,61.5,61.5,46.5,25.5,17.5,16.0
2074,55.5,65.0,64.5,11.5,0.0,13.5,8.0
2076,64.0,4.0,60.0,11.0,0.0,19.0,10.101545253863135
2082,84.0,88.0,53.0,35.0,1.6225165562913908,8.0,7.0
2086,42.0,47.0,36.0,76.0,0.0,9.0,5.0
2089,73.0,38.5,73.0,24.0,0.0,10.5,6.0
2090,90.0,75.0,50.0,11.0,0.0,9.0,26.0
2095,82.5,69.0,78.5,43.0,0.0,10.0,14.550772626931568
2096,36.0,30.0,64.24366041896361,34.0,0.0,14.0,5.0
2098,71.0,17.0,61.0,36.0,0.0,8.0,5.0
2102,54.0,50.0,40.0,61.0,0.0,10.0,6.0
2103,51.0,42.0,61.0,53.0,0.0,9.0,3.0
2105,45.0,17.0,60.0,21.0,0.0,33.0,4.0
2107,56.0,20.0,54.0,67.0,0.0,6.0,5.0
2118,72.0,18.0,46.0,7.0,0.0,28.0,8.0
2121,89.0,61.0,66.0,17.0,0.0,36.0,16.0
2125,56.0,24.0,66.0,7.0,0.0,12.0,3.0
2127,66.0,58.0,79.0,23.0,0.0,22.0,20.0
2129,70.0,35.0,41.0,41.0,0.0,10.0,3.0
2131,66.0,24.0,58.0,17.0,0.0,19.0,5.0
2133,71.0,67.0,60.0,7.0,0.0,6.0,4.0
2144,82.0,61.5,73.0,7.0,0.0,22.559050772626932,7.0
2145,66.94701986754967,61.0,58.0,6.0,0.0,16.0,3.0
2146,72.0,40.0,47.0,71.0,0.0,13.0,4.0
2149,77.0,35.0,88.0,16.0,0.0,17.0,9.0
2150,64.0,18.0,37.0,72.0,0.0,12.0,7.0
2151,56.0,68.0,89.0,4.0,0.0,33.0,19.0
2155,81.5,43.5,69.5,17.5,0.5,9.0,35.5
2156,60.0,86.0,32.0,88.0,0.0,34.0,6.0
2159,71.0,24.0,47.0,1.0,0.0,27.0,9.0
2164,85.0,53.0,68.0,40.0,1.6225165562913908,9.0,4.0
2167,53.0,51.0,70.0,49.0,0.0,14.0,3.0
2168,87.0,93.0,59.0,28.0,0.0,17.0,5.0
2175,59.0,69.0,61.0,84.0,0.0,46.0,36.0
2176,53.0,55.0,73.0,9.0,0.0,3.0,5.0
2178,76.0,46.0,79.0,31.0,0.0,7.0,6.0
2183,77.0,74.0,78.0,4.0,0.0,23.0,11.0
2186,80.0,15.0,54.0,9.0,0.0,38.0,5.0
2187,67.5,36.5,56.0,28.5,0.0,32.5,4.5
