Song_Id,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
4137,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703.0,43,263,45,10,826.0,125,B,Major,66.94701986754967,89.0,83.0,26.994487320837926,0.0,8.0,4.0
3628,LALA,Myke Towers,1,2023,3,23,1474,48,133716286.0,48,126,58,14,382.0,92,C#,Major,75.5,42.5,69.5,16.997243660418963,0.0,9.5,7.050772626931567
3520,vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974.0,94,207,91,14,949.0,138,F,Major,51.0,32.0,53.0,17.0,0.0,31.0,6.0
3362,Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817.0,116,207,125,12,548.0,170,A,Major,55.0,58.0,72.0,11.0,0.0,11.0,15.0
3914,WHERE SHE GOES,Bad Bunny,1,2025,5,18,3133,50,303236322.0,84,133,87,15,425.0,144,A,Minor,65.0,23.0,80.0,14.0,63.0,11.0,6.0
3423,Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234.0,67,213,88,17,946.0,141,C#,Major,92.0,66.0,58.0,19.0,0.0,8.0,24.0
3395,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112.0,34,222,43,13,418.0,148,F,Minor,67.0,47.0,76.0,28.0,23.5,19.0,5.0
2708,Columbia,Quevedo,1,2023,7,7,714,43,58149378.0,25,89,30,13,194.0,100,F,Major,67.0,26.0,71.0,37.0,0.0,11.0,4.0
4820,fukumean,Gunna,1,2023,5,15,1096,83,95217315.0,60,210,48,11,953.0,130,C#,Minor,85.0,22.0,62.0,12.0,0.0,28.0,9.0
4896,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067.0,49,110,66,13,339.0,170,D,Minor,81.0,56.0,48.0,21.0,0.0,8.0,33.0
3799,un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438.0,41,205,54,12,251.0,83,F#,Minor,57.0,56.0,72.0,23.0,0.0,27.0,5.0
2057,Super Shy,NewJeans,1,2023,7,7,422,55,58255150.0,37,202,21,5,168.0,150,F,Minor,79.0,67.0,81.5,16.0,0.0,14.0,21.5
3510,Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716.0,300,215,745,58,1021.0,118,Unknown,Major,71.0,65.0,68.0,6.0,0.0,3.0,7.0
4275,Daylight,David Kushner,1,2023,4,14,3528,98,387570742.0,80,156,182,24,1281.0,130,D,Minor,51.0,32.0,43.0,83.0,0.0,9.0,3.0
4635,As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,0.0,174,F#,Minor,52.0,66.0,73.0,34.0,0.0,31.0,6.0
3078,Kill Bill,SZA,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187.0,89,G#,Major,64.0,43.0,73.0,26.994487320837926,17.0,16.0,10.101545253863135
4991,Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686.0,91,212,78,6,0.0,120,B,Minor,70.66666666666667,58.813097866078,66.66666666666667,23.33149577361264,0.0,20.37270051508462,9.666666666666666
3593,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883.0,80,227,95,24,1173.0,78,Unknown,Major,62.0,23.5,39.5,24.497243660418963,0.8112582781456954,9.5,3.5
3122,Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234.0,43,100,54,14,187.0,100,B,Major,86.0,67.0,66.0,14.0,0.0,12.0,10.101545253863135
4479,Like Crazy,Jimin,1,2023,3,24,596,68,363369738.0,8,104,23,2,29.0,120,G,Major,63.0,36.0,73.0,0.0,0.0,36.0,4.0
2251,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842.0,11,163,10,4,0.0,140,F,Minor,65.0,87.0,64.24366041896361,22.0,0.0,42.0,10.101545253863135
4768,I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226.0,24,98,582,2,73.0,135,Unknown,Minor,62.0,62.5,61.0,16.0,1.0,18.0,3.5
2457,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221.0,17,152,32,11,139.0,133,F,Minor,71.33333333333333,65.0,70.66666666666667,12.333333333333334,0.5408388520971302,14.333333333333334,5.666666666666667
2491,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561.0,74,182,87,14,1093.0,99,C#,Major,85.0,83.0,68.0,7.0,1.6225165562913908,36.0,20.0
2505,SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654.0,16,149,10,5,168.0,130,G,Minor,79.0,96.0,86.0,9.0,0.0,9.0,9.0
4912,Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384.0,202,119,318,38,96.0,107,B,Major,80.0,82.0,80.0,43.0,0.0,14.0,4.0
4128,MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289.0,35,109,41,14,211.0,122,F#,Minor,67.0,60.5,72.5,11.5,0.0,45.0,4.0
4756,Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325.0,204,F#,Major,52.0,52.0,68.0,46.0,0.0,15.0,4.0
4281,Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954.0,0,0,143,38,0.0,110,B,Minor,70.5,78.5,65.1218302094818,6.5,0.0,20.5,10.5
4536,Rush,Troye Sivan,1,2023,7,13,864,78,22581161.0,71,135,50,1,294.0,126,F,Minor,74.0,35.0,84.0,0.0,0.0,11.0,6.0
3743,TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266.0,20,185,13,8,197.0,168,F#,Major,56.0,63.0,87.0,39.0,0.0,11.0,5.0
